"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"4191","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"6737","f","y","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"4999","x","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"6926","f","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"6445","f","s","n","FALSE","y","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"3934","x","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"6227","f","s","e","FALSE","s","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"6784","f","s","n","FALSE","y","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"4730","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4928","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"6225","k","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"4512","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","p"
"7452","k","s","n","FALSE","f","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"6626","x","y","e","FALSE","s","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"5117","x","y","e","FALSE","y","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"3074","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"5804","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","p"
"6729","x","s","e","FALSE","s","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"3738","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"7673","k","y","n","FALSE","f","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"4949","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
